,Count
backend : solr,1
backend : elasticsearch,1
backend : all,1
device management,1
ldf,1
moved,1
need-information,1
internals,1
core cli behavior,1
task execution,1
task organization,1
task signatures,1
needs docs and/or changelog,1
1.0.x,1
information needed,1
plugin-mp,1
indexes,1
plugin-layer,1
patchwelcome,1
3rd-party,1
stretch,1
python update,1
tasks,1
group,1
wart,1
ready to merge/rebase,1
vip: approved,1
connection,1
vip: discussion,1
sudo(),1
dx,1
mac-os,1
stale no activity 60 days,1
size: 5,1
requires-changes,1
motioneyeos,1
troubleshooting,1
priority-normal,1
notourproblem,1
csvkit,1
i18n/l10n,1
sandbox-and-shipping,1
setup/config,1
jedi-issue,1
raspberry pi,1
more-info-needed,1
hooks,1
urwid,1
useability,1
prirotiy: low,1
integrations,1
xbox one,1
qemu,1
linters,1
bluetooth,1
emulation,1
watch,1
evm,1
next major release,1
amop,1
internal dataframe,1
priority medium,1
vanity,1
msg-broadcast-optimize,1
crypto-perf-optimize,1
priority high,1
moderate fix,1
link,1
tool request,1
bfs,1
executor,1
needed: discussion,1
precompiled,1
optimize,1
heap,1
🙋 help wanted,1
decisions,1
✨ enhancement,1
<15mins,1
sdr,1
pr-inactive,1
twisted,1
need input,1
status: needs rework,1
policy,1
status: ready for release,1
one-hour-fix,1
missing pacman flag,1
root / sudo / systemd dynamic users,1
rfc - accepted,1
known_hosts,1
requires reverse engineering,1
keys,1
exception handling,1
requires new save format,1
cheat,1
feature request eval needed,1
needs policy decision,1
hangs,1
xmas-sprint,1
stream behavior,1
libtorrent,1
arch:ppc,1
c++20,1
datasette-publish,1
haiku,1
bogus,1
next_release,1
faceting,1
small,1
tracking-issue,1
datasette-insert,1
csv,1
authentication-and-permissions,1
json-api,1
json-extras,1
spatialite,1
linter,1
auto-closed - stale,1
developer environment,1
major change,1
build un/install,1
forum discussion,1
⭐️ new contributor friendly ⭐️,1
sound,1
demo player,1
design discussion,1
editor2,1
secuirty,1
hardfork,1
1a epic,1
staticfiles,1
platform:other os,1
state:needs more work,1
6 protocol,1
python:3.8,1
area:bootloader,1
@medium,1
@low / cleanup,1
kind:refactoring,1
area:tests/ci,1
area:test-suite,1
python:3.6,1
solution:works for me,1
version:2.1,1
2a discussion needed,1
version:develop,1
6 cli,1
python:3,1
state:verify,1
solution:not enough info,1
6 api,1
4b normal priority,1
low-prio,1
database-index,1
high-prio,1
3b feature,1
can be closed,1
bamboo,1
logs,1
reconnect,1
funding,1
closingd,1
pylightning,1
state::wontfix,1
gossip,1
state::needinfo,1
hsmd,1
bindings,1
lightningd,1
onchaind,1
bitcoind,1
state::fixed,1
source-issue,1
ast representation,1
symbolic engine,1
fee,1
channeld,1
bsd,1
lnd-compat,1
pruning,1
eclair-compat,1
state::stale,1
addr,1
stubs,1
ast lifting,1
external tool,1
optech make me famous!,1
json-rpc,1
discord-bot,1
code-related,1
discussion-讨论,1
taint engine,1
pr requested,1
disassembly,1
wontdo,1
cross-platform,1
symbolic optimization,1
p1: high,1
ast evaluation,1
solver engine,1
f: view,1
f: query,1
f: replication,1
f: attachment,1
assurance,1
needs-rebase,1
synthesizer engine,1
voodoo,1
ast,1
microblogging,1
put()/get(),1
kind:support,1
area:project infrastructure,1
area:hooks,1
inprogress,1
ready-for-ci,1
swagger ui,1
2d developing,1
1c task,1
sockeye_3,1
sockeye_2,1
sockeye_1,1
backwards_incompatible,1
currency storage,1
to start,1
6 build,1
5b docs in progress,1
win_test,1
announcement,1
3c enhancement,1
needs-docs,1
wontmerge,1
needs docs,1
needs input,1
high prio,1
low prio,1
tuning,1
2f testing,1
gardenia,1
question/discussion,1
best-practice,1
class-project,1
sponsored,1
clean-up,1
release-candidate,1
clean up,1
algo,1
arch:arm,1
need confirmation,1
testclient,1
arch:x86,1
cors,1
**hot**,1
pre-commit,1
resolver,1
pyproject.toml,1
hashes,1
[project],1
writer,1
tests/ci,1
pep-517,1
setuptools,1
implemented in v3,1
no-future,1
project-idea,1
pr wanted,1
voting,1
judging,1
area:modulegraph,1
area:documentation,1
code to integrate,1
test needed,1
dev,1
opencv,1
plotly.js,1
solution:won't fix,1
1b user story,1
6 dex,1
solution:duplicate,1
6 ux,1
@high,1
solution:invalid,1
2b gathering requirements,1
pull-request wanted,1
solution:read the manual,1
9d gigantic,1
state:need info,1
@low,1
version 5,1
kind:to be discussed,1
state:stale by author,1
6 security,1
area:hooks/pyside,1
platform:os x,1
sagemaker_container,1
9b small,1
3a request,1
diy_container,1
6 plugin,1
bridge,1
contest,1
admin,1
6 performance,1
comments,1
aap,1
super,1
2h accepted,1
intermediate,1
4a low priority,1
technical-debt,1
2c ready for development,1
grokability,1
spdx,1
accepting suggestions,1
good for new contributors,1
provider-changes,1
data-changes,1
ee,1
api:v4,1
websockets,1
size:xl,1
upload-wheel,1
ansible,1
ssp,1
category: saliency,1
category: dnn_superres,1
category: face,1
category: tracking,1
category: text,1
category: intensity_transform,1
category: plot,1
category: optflow,1
new module,1
category: bioinspired,1
category: xphoto,1
category: bgsegm,1
category: image quality,1
category: videostab,1
category: line_descriptor,1
category: dnn (moved out),1
action / change needed,1
category: matlab,1
category: infrastructure,1
category: datasets,1
category: latentsvm / dpm,1
@ script api,1
@ client / audiovisuals,1
supported by core dev,1
one approval,1
waiting (on dependency),1
>= two approvals,1
@ client / controls / input,1
@ build,1
@ translation,1
roadmap: needs approval,1
category: structured_light,1
category: mcc,1
category: surface_matching,1
category: ccalib,1
m:sfml-network,1
s:rejected,1
p:windows,1
m:unittest,1
p:android,1
m:sfml-audio,1
p:linux,1
p:ios,1
m:example,1
p:macos,1
spam,1
category: build/install,1
category: cuda,1
category: wechat_qrcode,1
category: sfm,1
category: freetype,1
category: cvv,1
category: xfeatures2d,1
category: aruco,1
category: python bindings,1
category: rgbd,1
category: ximgproc,1
category: documentation,1
category: rapid,1
question (invalid tracker),1
category: viz,1
category: stereo,1
category: ovis,1
category: alphamat,1
@ mapgen,1
@ mainmenu,1
s:superseded,1
quick,1
3d,1
point clouds,1
python console,1
qgis browser,1
map tools,1
attribute table,1
gui/ux,1
map and legend,1
projections/transformations,1
grass,1
frozen,1
topology checker,1
mesh,1
sld support,1
changelogexclude,1
won't add,1
gps,1
wmts data provider,1
labeling,1
geos,1
pyqgis,1
freeze exempt,1
configs and options,1
symbology,1
data provider,1
arcgis rest provider,1
arcgis feature server data provider,1
testsuite,1
requires tests!,1
